headline,label
"Since Red Velvet makes his return to Atlanta tonight, I was thinking of a way for fan favorites to show love to their old fan base",Positive
Ben Simmons on his relationship with Joel Embiid: “You’re not cool with everybody… I think there’s certain people that just you don’t talk to all the time.” Says he had a lot of great times with Embiid and wishes him the best.,Positive
"Luka Doncic talks about his defense: ""People are not going to admit it, but I think this year I’ve really taken a big step, I don’t need people to believe; I believe in myself. I think I’ve been playing defense way better than the first four years and I think I’ve taken a huge step forward.”",Positive
Ja Morant with some nice comments on playing Zion for the first time in 2 years. “We not used to playing each other. Always rooting for him. Praying for him to have a healthy career.,Positive
[Highlight] Some young Milwaukee Bucks fans try their best to distract Christian Wood during his free throws and succeeds,Positive
JJ Redick and Steph Curry breaks down the greatest play Jeff Van Gundy has ever seen against the Clippers,Positive
"[Rankin] Landry Shamet (concussion protocols) said he feels great, hopes to play Saturday against Jazz.",Positive
[Highlight] Kyrie wishes everyone a happy and blessed Thanksgiving,Positive
Bulls respond to accountability challenge with wins over NBA's best,Positive
It's thanksgiving what are you thankful for as a fan of the team you support?,Positive
[Esnaashari] Ty Lue says Jazz coach Will Hardy has brought some new offensive schemes in the NBA that no one has ever seen before. Gave him huge credit toward the team's success,Positive
[StatMuse] De’Aaron Fox in the win: 31 PTS 8 REB 6 AST 4 STL Longest win streak for the Kings since 2004.,Positive
"With Chicago's win over Boston, the Sacramento Kings have the longest win streak in the NBA at six games",Positive
"Matt Barnes calls out 76ers players/coach/staff: fans don’t understand how common FT’s are and Trez pulled some BS. Workers pissed him off because they sign up for the long haul, they know better. Giannis is the best player in the world, who the F is Philly? Philly got lucky Giannis is a nice guy",Positive
"[MacMahon] NBA’s Last 2 Minutes Report states that a foul should have been called on the play that resulted in a Mavs turnover and Spencer Dinwiddie’s shoulder popping out of socket. Mavs took a foul to stop play and sub out Dinwiddie, giving the Nuggets two free throws.",Positive
"Kevin Durant on the Thunder: ""I love what I'm seeing out there. That shit is just incredible to see the talent, just the way the game is being played. Like, man.""",Positive
"Ja Morant walks up to Malik Monk at the free throw line and tells him “dont miss” three times. Monk makes both. Morant then goes to line with a chance to tie the game seconds later, misses. Kings win.",Positive
Best friendship duos of all time?,Positive
"[Highlight] Grant Williams throws a weird looking pass to Pritchard, then a pretty pass to Kornet for the easy lay in",Positive
"[Greif] Before tipoff of Clippers-Jazz, Ty Lue says that Paul George (out with right hamstring) is ""all right"" and that the team considers him day to day. ""He feels OK, just making sure we're doing the right thing,"" Lue said.",Positive
"[Krawcynzski] Austin Rivers: ""If we’re going to play big, we’ve got to be big. Their big man was Draymond today. If we’re going to continue to play that way, we’ve got to find ways to get better at it.: Can you? AR: ""We can do it. ... If we get back (on defense), we'll be fine.""",Positive
"Despite being only 0.500 (10-10) and in 11th place, the Golden State Warriors are the current betting favorites to win the Western Conference.",Positive
Kristaps Porzingis gave a very thoughtful answer when asked what he’s thankful for this Thanksgiving.,Positive
"[Lewenberg] O.G. Anunoby, told that Luka called him ‘one of the nicest guys in the league’: “I think he’s one of the nicest guys in the league too.”",Positive
"Jaylen Brown: ""I saw a large group of people from our community showing support for Kai and his return. He’s contributed in a lot of ways to the game of basketball so for him to be able to come back and be on the floor last night I thought was something to celebrate",Positive
