headline,label
"Since Red Velvet makes his return to Atlanta tonight, I was thinking of a way for fan favorites to show love to their old fan base",1
The best two teams in the East are clearly the Celtics and Bucks in some order. But who do you think the next best teams after them are?,1
Ben Simmons on his relationship with Joel Embiid: “You’re not cool with everybody… I think there’s certain people that just you don’t talk to all the time.” Says he had a lot of great times with Embiid and wishes him the best.,1
"Luka Doncic talks about his defense: ""People are not going to admit it, but I think this year I’ve really taken a big step, I don’t need people to believe; I believe in myself. I think I’ve been playing defense way better than the first four years and I think I’ve taken a huge step forward.”",1
Ja Morant with some nice comments on playing Zion for the first time in 2 years. “We not used to playing each other. Always rooting for him. Praying for him to have a healthy career.,1
JJ Redick and Steph Curry breaks down the greatest play Jeff Van Gundy has ever seen against the Clippers,1
"[Rankin] Landry Shamet (concussion protocols) said he feels great, hopes to play Saturday against Jazz.",1
[Highlight] Kyrie wishes everyone a happy and blessed Thanksgiving,1
Bulls respond to accountability challenge with wins over NBA's best,1
It's thanksgiving what are you thankful for as a fan of the team you support?,1
[Esnaashari] Ty Lue says Jazz coach Will Hardy has brought some new offensive schemes in the NBA that no one has ever seen before. Gave him huge credit toward the team's success,1
[StatMuse] De’Aaron Fox in the win: 31 PTS 8 REB 6 AST 4 STL Longest win streak for the Kings since 2004.,1
"With Chicago's win over Boston, the Sacramento Kings have the longest win streak in the NBA at six games",1
"Matt Barnes calls out 76ers players/coach/staff: fans don’t understand how common FT’s are and Trez pulled some BS. Workers pissed him off because they sign up for the long haul, they know better. Giannis is the best player in the world, who the F is Philly? Philly got lucky Giannis is a nice guy",1
"[MacMahon] NBA’s Last 2 Minutes Report states that a foul should have been called on the play that resulted in a Mavs turnover and Spencer Dinwiddie’s shoulder popping out of socket. Mavs took a foul to stop play and sub out Dinwiddie, giving the Nuggets two free throws.",1
"Kevin Durant on the Thunder: ""I love what I'm seeing out there. That shit is just incredible to see the talent, just the way the game is being played. Like, man.""",1
"Ja Morant walks up to Malik Monk at the free throw line and tells him “dont miss” three times. Monk makes both. Morant then goes to line with a chance to tie the game seconds later, misses. Kings win.",1
Best friendship duos of all time?,1
"[Highlight] Grant Williams throws a weird looking pass to Pritchard, then a pretty pass to Kornet for the easy lay in",1
"[Greif] Before tipoff of Clippers-Jazz, Ty Lue says that Paul George (out with right hamstring) is ""all right"" and that the team considers him day to day. ""He feels OK, just making sure we're doing the right thing,"" Lue said.",1
"[Krawcynzski] Austin Rivers: ""If we’re going to play big, we’ve got to be big. Their big man was Draymond today. If we’re going to continue to play that way, we’ve got to find ways to get better at it.: Can you? AR: ""We can do it. ... If we get back (on defense), we'll be fine.""",1
"Jalen Brunson has hit 44 consecutive free throws, tying Chris Duhon for the second longest streak in franchise history since NBA play by plays were recorded in 1997-98. Courtney Lee holds the record with 52",1
"Despite being only 0.500 (10-10) and in 11th place, the Golden State Warriors are the current betting favorites to win the Western Conference.",1
Kristaps Porzingis gave a very thoughtful answer when asked what he’s thankful for this Thanksgiving.,1
