headline,label
GOP Senator Who Voted for Respect for Marriage Act Supports Vital Religious Freedom Amendments,1
Will the Supreme Court Respect the Respect for Marriage Act?,1
"21 GOP senators tell colleagues to oppose same-sex marriage bill unless it allows discrimination. ""The free exercise of religion is absolutely essential to the health of our Republic. We must have the courage to protect it,"" their letter states.",1
Maine has sent nearly $74 million in American Rescue Plan grants to child care providers,1
"It’s time for Herschel Walker, the most unintentionally hilarious man alive, to ditch politics for comedy",1
Democrats Give Supreme Court Chief Justice John Roberts An Ultimatum,1
"Nevada is 1 of 5 states with over 10% Asian Americans. Both parties courted vote, but Dems won out.",1
Trump rips Supreme Court after ruling he hand over tax records,1
"Republicans have won the House. Now, they're promising to investigate the Bidens",1
MSNBC’s Joy Reid Accepts Herschel Walker’s Challenge To Debate On 1 Condition,1
US Supreme Court once again passes on opportunity to repeal Insular Cases,1
"After Mueller, legal experts hope for a more vocal special counsel",1
Akron awards $1M in American Rescue Plan Act funds to 100 local businesses: See the list,1
"Booker, Brown Press Amazon on Workplace Safety Ahead of the Holiday Sales Season",1
"Deference, Delegation, and Divination: Justice Breyer and the Future of the Major Questions Doctrine",1
"If DeSantis Wins the Nomination, Trump Will Endorse Him",1
Rights group calls for Samuel Alito to be investigated after claims of leaked 2014 ruling; Anti-abortion activist said supreme court justice revealed the landmark ruling on contraception and religious rights weeks earlier,1
Georgia Is Limiting Early Voting—Partly Because of a Holiday Honoring Robert E. Lee,1
US approves largest dam removal in history to save endangered salmon,1
The Hobby Lobby leak looks bad for Justice Alito. But that’s not the worst part. The real story is the religious right's growing influence over the court.,1
The Senate Judiciary Committee will review reports that Alito's Hobby Lobby decision was leaked to an anti-abortion leader: 'another black mark on the Supreme Court's increasingly marred ethical record',1
"Former GOP congressman expresses interest in serving as House speaker, receives support from liberal governor",1
"Glenn Youngkin is a kinder, gentler Trumpist | Virginia’s governor has a unique approach to adapting Donald Trump’s politics",1
Partisan redistricting gave Republicans control of the House. Will a conservative Supreme Court take that advantage back?,1
"Gabe Klein, U.S. energy and transportation director, has 3 electric bikes | Klein’s job is to help break down barriers to electrifying transportation, the nation’s top source of greenhouse gas emissions",1
Can Raphael Warnock Win an Even Tougher Runoff Election?,1
